fraksiya,t,vx,vy,vz,x,y,z
PM2.5,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,20.0000
PM2.5,0.075000,5.000000,0.000000,-0.000282,0.3756,0.0000,20.0000
PM2.5,0.150000,5.000000,0.000000,-0.000282,0.7506,0.0000,20.0000
PM2.5,0.225000,5.000000,0.000000,-0.000282,1.1256,0.0000,19.9999
PM2.5,0.300000,5.000000,0.000000,-0.000282,1.5006,0.0000,19.9999
PM2.5,0.375000,5.000000,0.000000,-0.000282,1.8756,0.0000,19.9999
PM2.5,0.450000,5.000000,0.000000,-0.000282,2.2506,0.0000,19.9999
PM2.5,0.525000,5.000000,0.000000,-0.000282,2.6256,0.0000,19.9999
PM2.5,0.600000,5.000000,0.000000,-0.000282,3.0006,0.0000,19.9998
PM2.5,0.675000,5.000000,0.000000,-0.000282,3.3756,0.0000,19.9998
PM2.5,0.750000,5.000000,0.000000,-0.000282,3.7506,0.0000,19.9998
PM2.5,0.825000,5.000000,0.000000,-0.000282,4.1256,0.0000,19.9998
PM2.5,0.900000,5.000000,0.000000,-0.000282,4.5006,0.0000,19.9997
PM2.5,0.975000,5.000000,0.000000,-0.000282,4.8756,0.0000,19.9997
PM2.5,1.050000,5.000000,0.000000,-0.000282,5.2506,0.0000,19.9997
PM2.5,1.125000,5.000000,0.000000,-0.000282,5.6256,0.0000,19.9997
PM2.5,1.200000,5.000000,0.000000,-0.000282,6.0006,0.0000,19.9997
PM2.5,1.275000,5.000000,0.000000,-0.000282,6.3756,0.0000,19.9996
PM2.5,1.350000,5.000000,0.000000,-0.000282,6.7506,0.0000,19.9996
PM2.5,1.425000,5.000000,0.000000,-0.000282,7.1256,0.0000,19.9996
PM2.5,1.500000,5.000000,0.000000,-0.000282,7.5006,0.0000,19.9996
PM2.5,1.575000,5.000000,0.000000,-0.000282,7.8756,0.0000,19.9996
PM2.5,1.650000,5.000000,0.000000,-0.000282,8.2506,0.0000,19.9995
PM2.5,1.725000,5.000000,0.000000,-0.000282,8.6256,0.0000,19.9995
PM2.5,1.800000,5.000000,0.000000,-0.000282,9.0006,0.0000,19.9995
PM2.5,1.875000,5.000000,0.000000,-0.000282,9.3756,0.0000,19.9995
PM2.5,1.950000,5.000000,0.000000,-0.000282,9.7506,0.0000,19.9995
PM2.5,2.025000,5.000000,0.000000,-0.000282,10.1256,0.0000,19.9994
PM2.5,2.100000,5.000000,0.000000,-0.000282,10.5006,0.0000,19.9994
PM2.5,2.175000,5.000000,0.000000,-0.000282,10.8756,0.0000,19.9994
PM2.5,2.250000,5.000000,0.000000,-0.000282,11.2506,0.0000,19.9994
PM2.5,2.325000,5.000000,0.000000,-0.000282,11.6256,0.0000,19.9993
PM2.5,2.400000,5.000000,0.000000,-0.000282,12.0006,0.0000,19.9993
PM2.5,2.475000,5.000000,0.000000,-0.000282,12.3756,0.0000,19.9993
